Team,Matches,Won,Lost,Super Over (Tied),No Result,NRR,For,Against,Points,Position in league stage,Final Position
RCB,14,9,4,0,1,0.326,1962/237,2000/251.3,19,1,2
CSK,14,9,5,0,0,0.443,2118/265.1,1978/262.1,18,2,1
MI,14,9,5,0,0,0.04,1998/275.2,1951/270.2,18,3,3
KKR,14,8,6,0,0,0.433,1888/249.2,1861/260.4,16,4,4
PBKS,14,7,7,0,0,-0.051,2224/275.4,2173/267.4,14,5,5
RR,14,6,7,0,1,-0.691,1687/242.2,1801/235.2,13,6,6
DEC,14,6,8,0,0,0.222,2140/279.2,2037/273.5,12,7,7
KTK,14,6,8,0,0,-0.214,1901/256.2,1989/260.4,12,8,8
PWI,14,4,9,0,1,-0.134,1775/247.3,1858/254.2,9,9,9
DC,14,4,9,0,1,-0.448,2031/258.2,2076/249.5,9,10,10